id,resource_state,name,climb_category,climb_category_desc,avg_grade,start_latlng,end_latlng,elev_difference,distance,points,starred,elevation_profile,local_legend_enabled,classification
4380908,2,Ignacio Zaragoza Climb,0.0,NC,4.8,"[19.238437, -99.112807]","[19.234698, -99.119714]",40.5,851.4,eoltB`~|{QTV`@~@tC~FvDlIf@z@b@bAlCpFNf@Jj@ZtBHjAPZPPd@H,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/VNKVBW7GXV4W4PJNVBFXZDD4WN6OMHZK53SA54DBIDX5637KKSU7A4OGAATJEXFJA6FTMYOJTBN52PT3664ACKA=,True,other
38929945,2,Muur Sn Matteo ,1.0,4,7.6,"[19.246089, -99.117286]","[19.235001, -99.121172]",108.2,1432.8,__ntB`z}{QpAWPC`@KhAk@~Ak@|@WZ?`@P^VV`@Lb@d@b@H^jA`AdAjAXR^PLRb@VDF?DRTRDNN`@HJRNNXJx@N`A?t@F\JVPvAh@TAf@F`@?lBEz@M`@CdBCf@Fd@PVPZDZJ|@H|@T`@RXFpAxA\PPVPRNTd@f@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/4JBDA6IWHAG74DN4IGV7W73YLXQCPDSUJPSDPXJOJP3STWWAKNAHYW77Q6WZMFA2NCPA7PMV3O5N2IAVFFSAE3Y=,True,other
35634344,2,casa,0.0,NC,13.4,"[19.242753, -99.076179]","[19.241399, -99.075341]",42.9,265.2,ejmtBbyu{Q\Cd@FPCZ@?CFAAAp@E?GRL]QXBn@AFKHAHMRIFK?GCMS_@Dg@,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/ZHNME4ZB3EDNOUQJWNQC23VOP75MSEIWS364ZP2BMDFJX6AHW4XKEMRXT65KWAR5CJRI24NS3K2L5GBT7OPZOKY=,True,other
33891951,2,ahualapa,0.0,NC,-1.5,"[19.246623, -99.068756]","[19.246626, -99.068781]",4.4,286.0,kbntBvjt{Q_@jAMl@?LBHNJTDD?HGf@uATy@Da@IKe@QQXM^,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/CUP73ALKCH7DBSG6XPVP5AUHIBE5SJOAFZKBE7EEC2VOO42NZ4U7LWLBPVXG5RS3AWCBTIWFG76DEGMZYLULHZCT,True,other
37193454,2,piedra larga,1.0,4,11.6,"[19.240017, -99.067354]","[19.22873, -99.066196]",158.2,1358.6,ayltB~at{Qp@o@x@m@TMRCTMNQf@Yz@[XGR@XIb@AVIFIJURQRIb@q@NKh@Ud@Kn@WjAWbACnBKz@@ZAt@HP?JC`@LJ?b@Nf@LZDb@Hd@BXFXNh@Fl@d@JBXPb@LRBv@B^APEf@@l@CXDNANB^?bAE^DbABbBXN?VDbBGTB,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/5ZQHTSCRFI7ADURHXFQHOZRCSIBNWZITU2DYKMITSYONXWQ4T4UVRAEVDUSNA54KFM5CTGLJTI2MIPM4PJL3QHA=,True,other
33844411,2,av. campo,1.0,4,8.4,"[19.241377, -99.075298]","[19.235461, -99.077261]",95.0,1134.3,qamtBrsu{QI??BB`@DFA?TH^MVSPGFAJBNCZ@XCRBFELA@KFC@IAKLWRBJIXAPDFHIPDHBQB@FCFKFB?XIz@CDJ?RFDDD?FHJBFCBBRUR@@HEBELFFFENEJJ@BCDLDRALJAED@HIBKJALAFBBBFLDBFABGJ@?IT?JL@PJZf@x@^Vh@H@EFRJ@XCICEBVN`@AFEz@DL@FDL@ROIQLCBN?h@LDV@LK@EE[DYUd@?BHBJVLp@b@^H@DQLCHBPND@C@@BEA,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/3MGETBTVPJUIDSJ4HDLMGM46ITTULMAYCMXBNEDTBYDHMMZCFMKMTGFK3UHIOR4A33TMKWUYJDPKIWS325SR5NY=,True,other
18428821,2,Subidita :),1.0,4,4.7,"[19.249125, -99.056585]","[19.229831, -99.055132]",111.2,2352.3,_rntBt~q{QDZHH~@LdAFlAMbB]hBWfBqAr@cAr@{A^a@P_@VYp@e@d@GpCsAr@a@fAe@b@Mf@EtA?v@Jv@ZlDnAhCdAfDdA`AN`@@v@Iv@UzCu@v@Uf@Kp@U|Bm@`@GTCl@BfARh@Nt@Zn@N\NzAZ~@HbBA`BB`C\lBd@vAd@v@L~@Bz@G`@IfBg@h@I,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/EDAJ4QC2XJTMZD3U2BXMTIJ7DYUFQ6SNIET7MCEDU5AEPT6T35F7NPXMW4K4CYAPO4VWNLO7NOOCOEZWBKPLSZEX,True,other
13663347,2,P Olivos 1v Abajo,0.0,NC,0.0,"[19.249286, -99.006161]","[19.249277, -99.006154]",10.6,1158.9,_sntBpch{QKBO?[QGIG_@CGIKICqA\]FWC[KMIOi@IoCGy@SiA_AoE?GBCP?LB`@V`@LDDMxAMj@CZFPb@^VHdA`@|Bf@n@Fn@EfBSX?XDTNLLBJAD[VEHGb@IR{@t@eAr@_@JWN,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/3WFDLQOMPCPET4DOAHUS4JMUL4UVC3KZTCGQKWHNVMGVNQQ6BKKPTVZ364SEIJ4LLISYWM44TTOOI65GMT7RVNI=,True,other
18122710,2,P Olivos Recta MayOr,0.0,NC,1.4,"[19.250687, -99.005684]","[19.251253, -99.00324]",6.1,265.9,w{ntBp`h{QMeAEk@?eA}AqH,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/RU3GYNLRLJHHQM6VN5WSKXL7DOBLAPLZFSCI3ONZ3HYT7TLI7Z4TPZFULE2EC6R3TG5Z2ACEQ4R6NNRZH4EHTQA=,True,other
13648483,2,P Olivos-UTB,0.0,NC,0.7,"[19.249132, -99.006203]","[19.241925, -99.000131]",7.6,1038.1,arntBxch{QF?HK@GTU\UV_@j@_@VIl@W^WTc@V[j@y@fAgAXKFKt@a@JCb@WXSFA|XoUTBDGHA,False,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/66UAWCTNAR7Q4FK7DX4B2JMRRYF52M3IQV3OZHHNYJ4HXAJP7OGJ43UC74NE54DVIMJ57WM2MZR5HMETDZ3M2RY=,True,other
